mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Georg Joseph Sidler,['astronomer'],['Switzerland'],Zug,9 November 1907,,,,,,,,,,,,,,,['human'],['male'],False,31,August,1831,False,9,November,1907
Ivars Peterson,"['mathematician', 'journalist']",['Canada'],,,['University of Toronto'],,,,,,['English'],,,,,,,,['human'],['male'],False,4,December,1948,False,,,
Johannes Kepler,"['naturalist', 'astrologer', 'theologian', 'mathematician', 'astronomer', 'science writer', 'musicologist', 'physicist', 'cosmologist', 'music theorist', 'science fiction writer', 'writer']",['Holy Roman Empire'],Weil der Stadt,15 November 1630,['University of Tübingen'],,['Regensburg'],,,['Michael Maestlin'],['Latin'],"['Bachelor of Arts', '1588', 'University of Tübingen', 'Master of Arts', '1591', 'University of Tübingen']",,,,['optics'],,,['human'],['male'],False,27,December,1571,False,15,November,1630
Michèle Audin,"['mathematician', 'historian of mathematics', 'writer']",['France'],Algiers,,['École Normale Supérieure'],,,,,,['French'],,,,,,"['Prix Ève Delacroix', '2013']",,['human'],['female'],False,3,January,1954,False,,,
Herbert Spohn,"['mathematician', 'physicist', 'university teacher']",['Germany'],,,['Ludwig Maximilian University of Munich'],"['Ludwig Maximilian University of Munich', 'Technical University of Munich']",,,"['Ludwig Maximilian University of Munich', 'Technical University of Munich']",['Joel Lebowitz'],['German'],,,,,,"['Henri Poincaré Prize', '2015', 'Dannie Heineman Prize for Mathematical Physics', '2011', 'Cantor medal', '2014', 'Max Planck research award', '1993', 'Max Planck Medal', '2017']",['3±0'],['human'],['male'],False,,,1946,False,,,
Trachette Jackson,['mathematician'],,,,"['University of Washington', 'Arizona State University']",['University of Michigan'],,,['University of Michigan'],,,,,,,,,,['human'],['female'],False,24,July,1972,False,,,
Ann S. Almgren,['mathematician'],['United States of America'],,,"['Harvard University', 'University of California, Berkeley']",,,['Society for Industrial and Applied Mathematics'],,,,,,,,,,,['human'],['female'],False,,,,False,,,
Grigorii Fichtenholz,"['mathematician', 'university teacher']","['Russian Empire', 'Soviet Union']",Odessa,26 June 1959,"['Odessa University', '1911', 'Saint Petersburg State University', '1918']",['Saint Petersburg State University'],['Saint Petersburg'],,['Saint Petersburg State University'],['Samuil Shatunovsky'],['Russian'],"['professor', '1929', 'Doctor of Sciences in Physics and Mathematics', '1935']",,,,"['calculus', 'Function theory', 'functional analysis']","['Order of the Red Banner of Labour', 'Q4187994']",,['human'],['male'],False,5,June,1888,False,26,June,1959
Tirukkannapuram Vijayaraghavan,['mathematician'],,,20 April 1955,,,,['Indian Academy of Sciences'],,,,,,,,,,,['human'],['male'],False,30,November,1902,False,20,April,1955
Tomaž Pisanski,"['mathematician', 'computer scientist']",['Slovenia'],Ljubljana,,['Pennsylvania State University'],"['Simon Fraser University', 'University of Zagreb']",,['Academia Europaea'],"['Simon Fraser University', 'University of Zagreb']",['Torrence Parsons'],,,,,,['graph theory'],"['Order for Merits', 'Boris Kidrič Fund award']",['2±0'],['human'],['male'],False,24,May,1949,False,,,
Michael Shulman (mathematician),['mathematician'],,Los Angeles,,"['California Institute of Technology', 'University of Chicago']",,,,,['J. Peter May'],,,,,,,,,['human'],['male'],False,,,1980,False,,,
Arif Salimov,['mathematician'],['Turkey'],,,['Baku State University'],,,,,,,,,,,['differential geometry'],,,['human'],['male'],False,,,1956,False,,,
Leonid Levin,"['mathematician', 'computer scientist']","['United States of America', 'Soviet Union']","Dnipro, Ukrainian Soviet Socialist Republic, Soviet Union",,"['Moscow State University', 'Massachusetts Institute of Technology']",['Boston University'],,['American Academy of Arts and Sciences'],['Boston University'],['Andrey Kolmogorov'],,,,,,"['informatics', 'probability theory']","['Knuth Prize', '2012', 'Alexander von Humboldt Fellow']",['2±0'],['human'],['male'],False,2,November,1948,False,,,
Douglas Hartree,"['mathematician', 'physicist', 'professor', 'computer scientist']",['United Kingdom'],Cambridge,12 February 1958,"[""St John's College"", 'Bedales School']",['University of Manchester'],['Cambridge'],['Royal Society'],['University of Manchester'],"['Ralph H. Fowler', 'Ernest Rutherford']",['English'],,,,,"['theoretical physics', 'numerical analysis', 'atomic physics']",['Fellow of the Royal Society'],,['human'],['male'],False,27,March,1897,False,12,February,1958
Vijayanandi,"['mathematician', 'astronomer']",['India'],,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Ted Kaczynski,"['mathematician', 'educator', 'writer', 'terrorist']",['United States of America'],Evergreen Park,,"['Harvard University', 'University of Michigan']","['University of California, Berkeley']",,,"['University of California, Berkeley']",,['English'],,,,,,,,['human'],['male'],False,22,May,1942,False,,,
George William Hill,"['astronomer', 'mathematician']",['United States of America'],New York City,16 April 1914,['Rutgers University'],,['Nyack'],"['Royal Society', 'Royal Swedish Academy of Sciences', 'Royal Academy of Science, Letters and Fine Arts of Belgium', 'Norwegian Academy of Science and Letters', 'Royal Netherlands Academy of Arts and Sciences', 'Lincean Academy', 'Royal Society of Edinburgh', 'American Academy of Arts and Sciences']",,,,,,,,,"['Copley Medal', '1909', 'Gold Medal of the Royal Astronomical Society', '1887', 'Bruce Medal', '1909']",,['human'],['male'],False,3,March,1838,False,16,April,1914
Nicolai V. Krylov,"['mathematician', 'university teacher']",['Russia'],Sudogda,,,,,['American Academy of Arts and Sciences'],,['Eugene Dynkin'],,,,,,['differential equation'],,,['human'],['male'],False,5,June,1941,False,,,
E. Brian Davies,['mathematician'],['United Kingdom'],Cardiff,,['University of Oxford'],"[""King's College London""]",,['Royal Society'],"[""King's College London""]",,['English'],['doctoral degree'],,,,,"['Fellow of the Royal Society', 'Pólya Prize', '2011', 'Gauss Lectureship', '2010']",,['human'],['male'],False,,,1944,False,,,
Walter Rudin,"['mathematician', 'university teacher']",['United States of America'],Vienna,20 May 2010,['Duke University'],['University of Wisconsin–Madison'],['Madison'],,['University of Wisconsin–Madison'],['John Jay Gergen'],['English'],,,['natural causes'],,"['mathematical analysis', 'functional analysis']",,['2±0'],['human'],['male'],False,2,May,1921,False,20,May,2010
Boris Shapiro (mathematician),['mathematician'],,,,['Stockholm University'],,,,,['Vladimir Arnold'],,,,,,,,,['human'],['male'],False,,,,False,,,
Lars-Erik Persson,['mathematician'],['Sweden'],,,,,,,,,,,,,,,,,['human'],['male'],False,24,September,1944,False,,,
Martin Dunwoody,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,3,November,1938,False,,,
Minhyong Kim,['mathematician'],,Seoul,,['Yale University'],"['Massachusetts Institute of Technology', 'University College London', 'University of Arizona', 'Purdue University', 'Columbia University']",,,"['Massachusetts Institute of Technology', 'University College London', 'University of Arizona', 'Purdue University', 'Columbia University']",['Serge Lang'],,,,,,,"['Ho-Am Prize in Science', '2012']",,['human'],['male'],False,,,1963,False,,,
Andrew John Pullan,['mathematician'],['New Zealand'],,7 March 2012,['University of Auckland'],,,,,,,,,,,,,,['human'],['male'],False,,,1963,False,7,March,2012
Derek Taunt,['mathematician'],,,15 July 2004,,,,,,,,,,,,,,,['human'],['male'],False,16,November,1917,False,15,July,2004
Roman Bezrukavnikov,['mathematician'],['United States of America'],,,['Tel Aviv University'],['Massachusetts Institute of Technology'],,,['Massachusetts Institute of Technology'],,,,,,,,,,['human'],['male'],False,,,,False,,,
Bruce Kleiner,"['mathematician', 'topologist', 'university teacher']",['United States of America'],,,"['University of California, Berkeley']","['New York University', 'Yale University', 'University of Michigan']",,,"['New York University', 'Yale University', 'University of Michigan']",,,,,,,"['geometry', 'topology']",['NAS Award for Scientific Reviewing'],,['human'],['male'],True,,,1900,False,,,
Marie Litzinger,['mathematician'],,,7 April 1952,['University of Chicago'],,,,,,,,,,,,,,['human'],['female'],False,,,1899,False,7,April,1952
Olof Thorin,['mathematician'],,,14 February 2004,,,,,,,,,,,,,,,['human'],['male'],False,23,February,1912,False,14,February,2004
Bhama Srinivasan,"['mathematician', 'university teacher']","['United States of America', 'India']",Chennai,,"['University of Madras', 'University of Manchester', 'University of British Columbia']",['Clark University'],,['American Mathematical Society'],['Clark University'],['James Alexander Green'],,,,,,['group theory'],,['3±0'],['human'],['female'],False,22,April,1935,False,,,
W. Hugh Woodin,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],Tucson,,"['University of California, Berkeley']","['University of California, Berkeley']",,['American Academy of Arts and Sciences'],"['University of California, Berkeley']",['Robert M. Solovay'],,,,,,['set theory'],"['Gödel Lecturer', '2008', 'Carol Karp Prize', '1988']",['2±0'],['human'],['male'],False,23,April,1955,False,,,
Luis Santaló,"['mathematician', 'university teacher', 'writer']","['Spain', 'Argentina']",Girona,22 November 2001,"['Universidad Central', 'Princeton University', 'University of Chicago']","['University of Buenos Aires', 'National University of the Littoral', 'National University of La Plata']",['Buenos Aires'],"['Q29790141', '21 December 1977']","['University of Buenos Aires', 'National University of the Littoral', 'National University of La Plata']",['Wilhelm Blaschke'],"['Spanish', 'Catalan']","['Doctor of Science', '1935', 'Universidad Central']",,,,"['differential geometry', 'integral geometry']","['Princess of Asturias Award for Technical and Scientific Research', '1983', 'Creu de Sant Jordi', '1994', 'Civil Order of Alfonso X, the Wise', '1996', 'doctor honoris causa', 'Polytechnic University of Catalonia', 'doctor honoris causa', 'University of Buenos Aires', 'doctor honoris causa', 'University of Seville', 'Konex Award', '2003']",,['human'],['male'],False,9,October,1911,False,22,November,2001
Florence Rivault,['mathematician'],['France'],,1616,,,,,,,['French'],,,,,,,,['human'],['male'],False,,,1571,False,,,1616
Lin Fanghua,['mathematician'],['United States of America'],Ningbo,,['University of Minnesota'],,,"['American Academy of Arts and Sciences', 'American Mathematical Society']",,,,,,,,,['Presidential Young Investigator Award'],['3±0'],['human'],['male'],False,11,March,1959,False,,,
Na'im ibn Musa,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Timothy Augustine Coghlan,['statistician'],['Australia'],Sydney,30 April 1926,,,['Greater London'],,,,,,,,,,['Knight Commander of the Order of St Michael and St George'],,['human'],['male'],False,9,June,1856,False,30,April,1926
Dan Abramovich,"['mathematician', 'university teacher']",['Israel'],Haifa,,,,,['American Mathematical Society'],,,,,,,,,,,['human'],['male'],True,,,1900,False,,,
John Fitch (computer scientist),"['computer scientist', 'engineer', 'mathematician']",['United Kingdom'],,,,,,,,,,,,,,,,,['human'],['male'],False,,,1945,False,,,
Kenji Fukaya,['mathematician'],['Japan'],Kanagawa Prefecture,,['University of Tokyo'],['Kyoto University'],,['Japan Academy'],['Kyoto University'],,,,,,,,,,['human'],['male'],False,12,March,1959,False,,,
Joseph Winlock,"['astronomer', 'mathematician']",['United States of America'],Shelby County,11 June 1875,,['Harvard University'],,"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['Harvard University'],,,,,,,,,,['human'],['male'],False,6,February,1826,False,11,June,1875
George Frederick James Temple,"['mathematician', 'physicist', 'historian of mathematics']",['United Kingdom'],London,30 January 1992,,"['Imperial College London', ""King's College London""]",['Quarr Abbey'],['Royal Society'],"['Imperial College London', ""King's College London""]",,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,2,December,1901,False,30,January,1992
William Marrat,['mathematician'],,,1852,,,,,,,,,,,,,,,['human'],['male'],False,,,1772,False,,,1852
Azriel Lévy,['mathematician'],['Israel'],Haifa,,['Hebrew University of Jerusalem'],,,,,,,,,,,['set theory'],,['3±0'],"['human', 'emeritus']",['male'],False,,,1934,False,,,
Shaun Wylie,"['mathematician', 'topologist']",['United Kingdom'],Oxford,2 October 2009,"['Princeton University', 'Dragon School', 'Winchester College', 'New College']",,,,,['Solomon Lefschetz'],,,,,,['topology'],,,['human'],['male'],False,17,January,1913,False,2,October,2009
Seymour Geisser,['statistician'],['United States of America'],New York City,11 March 2004,['University of North Carolina at Chapel Hill'],,['Saint Paul'],,,['Harold Hotelling'],,,,,,,,,['human'],['male'],False,5,October,1929,False,11,March,2004
Craig L. Russell,['mathematician'],['United States of America'],,,['Harvard University'],,,,,,,,,,,,,,['human'],['male'],False,6,January,1949,False,,,
Michael S. Longuet-Higgins,['mathematician'],['United Kingdom'],Lenham,26 February 2016,,,['Cambridge'],"['Royal Society', 'National Academy of Sciences']",,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,,,1925,False,26,February,2016
Greg Kuperberg,"['mathematician', 'topologist']","['United States of America', 'Poland']",Gdańsk,,"['Harvard University', 'University of California, Berkeley']","['University of California, Davis']",,['American Mathematical Society'],"['University of California, Davis']",['Andrew Casson'],,,,,,['topology'],,['2±0'],['human'],['male'],False,4,July,1967,False,,,
Nathan Mendelsohn,['mathematician'],['Canada'],Brooklyn,4 July 2006,['University of Toronto'],,['Toronto'],['Royal Society of Canada'],,,,,,,,,"['Member of the Order of Canada', 'Henry Marshall Tory Medal', '1979']",,['human'],['male'],False,14,April,1917,False,4,July,2006
Vittorio Grünwald,['mathematician'],,Verona,March 1943,,,['Florence'],,,,,,,,,,,,['human'],['male'],False,13,June,1855,False,,March,1943
Robert Forsyth Scott,['mathematician'],,,18 November 1933,"[""St John's College""]",,,,,,,,,,,,,,['human'],['male'],False,28,July,1849,False,18,November,1933
Stefan Grigorievich Samko,[''],,Rostov-on-Don,,,,,,,,,,,,,,,,['human'],['male'],False,28,March,1941,False,,,
Jianhong Wu,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Pierre Rosenstiehl,['mathematician'],['France'],,,,['School for Advanced Studies in the Social Sciences'],,['Oulipo'],['School for Advanced Studies in the Social Sciences'],,['French'],,,,,"['combinatorics', 'graph theory']",['Knight of the Legion of Honour'],['3±0'],['human'],['male'],False,,,1933,False,,,
John Raymond Wilton,['mathematician'],,,12 April 1944,,,,,,,,,,,,,,,['human'],['male'],False,2,May,1884,False,12,April,1944
Robert Smith (mathematician),"['mathematician', 'musicologist', 'music theorist']",['United Kingdom'],,2 February 1768,,,['Cambridge'],['Royal Society'],,['Roger Cotes'],['English'],,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,16,October,1689,False,2,February,1768
Micaiah John Muller Hill,['mathematician'],,Berhampur,1929,"['Peterhouse', 'University College London']",['University College London'],,['Royal Society'],['University College London'],,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,,,1856,False,,,1929
Robert William Genese,['mathematician'],,Dublin,1928,,,,,,,,,,,,,,,['human'],['male'],False,,,1848,False,,,1928
Harry Lindgren,"['mathematician', 'linguist']",['Australia'],,1992,,,,,,,['English'],,,,,,,,['human'],['male'],False,,,1912,False,,,1992
Imre Z. Ruzsa,['mathematician'],['Hungary'],Budapest,,,,,"['American Mathematical Society', 'Hungarian Academy of Sciences']",,,,,,,,['number theory'],,['1±0'],['human'],['male'],False,23,July,1953,False,,,
Al-Nayrizi,"['mathematician', 'astronomer', 'astrologer']",['Iran'],Neyriz,922,,['House of Wisdom'],,,['House of Wisdom'],,['Arabic'],,,,,['mathematics'],,,['human'],['male'],False,,,865,False,,,922
Irene M. Gamba,"['mathematician', 'professor']","['United States of America', 'Argentina']",,,"['University of Buenos Aires', 'University of Chicago']",,,"['Society for Industrial and Applied Mathematics', '2012', 'American Mathematical Society', '2013', 'Japan Society for the Promotion of Science', '2013']",,,,,,,,,,['3±0'],['human'],['female'],False,,,1957,False,,,
Rudolf E. Kálmán,"['mathematician', 'engineer', 'university teacher']",['United States of America'],"Budapest, Hungary",2 July 2016,"['Columbia University', 'Massachusetts Institute of Technology', 'Columbia School of Engineering and Applied Science']","['Stanford University', 'University of Florida']",['Gainesville'],"['French Academy of Sciences', 'American Mathematical Society', 'National Academy of Sciences', 'Hungarian Academy of Sciences', 'Russian Academy of Sciences', 'American Academy of Arts and Sciences', 'National Academy of Engineering']","['Stanford University', 'University of Florida']",['John R. Ragazzini'],,,,,,['control theory'],"['IEEE Centennial Medal', 'IEEE Medal of Honor', '1974', 'National Medal of Science', '2008', 'Charles Stark Draper Prize', '2008', 'Kyoto Prize in Advanced Technology', '1985']",['3±0'],['human'],['male'],False,19,May,1930,False,2,July,2016
Ernst Christian Julius Schering,"['mathematician', 'historian of mathematics']",['Germany'],Bleckede,2 November 1897,,,['Göttingen'],"['Göttingen Academy of Sciences', 'Prussian Academy of Sciences']",,,,,,,,,,,['human'],['male'],False,31,May,1824,False,2,November,1897
Hiroshi Saito (mathematician),['mathematician'],,,2010,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,2010
Giacomo Albanese,"['mathematician', 'university teacher']","['Italy', 'Brazil']",Geraci Siculo,8 June 1947,,['University of São Paulo'],['São Paulo'],,['University of São Paulo'],,,,,,,,,,['human'],['male'],False,11,July,1890,False,8,June,1947
Richard E. Bellman,"['mathematician', 'university teacher', 'computer scientist']",['United States of America'],New York City,19 March 1984,"['Princeton University', 'University of Wisconsin–Madison', 'Brooklyn College']",['University of Southern California'],['Los Angeles'],['American Academy of Arts and Sciences'],['University of Southern California'],['Solomon Lefschetz'],['English'],,,,,,"['John von Neumann Theory Prize', '1976', 'IEEE Medal of Honor', '1979']",['2±0'],['human'],['male'],False,26,August,1920,False,19,March,1984
Mark Pollicott,['mathematician'],['United Kingdom'],Nottingham,,['University of Warwick'],"['University of Warwick', 'University of Manchester']",,,"['University of Warwick', 'University of Manchester']",,,,,,,,,,['human'],['male'],False,24,September,1959,False,,,
Jakob Nielsen (mathematician),"['mathematician', 'university teacher']",['Denmark'],Nordslesvig,3 August 1959,,['University of Copenhagen'],['Helsingør'],['Royal Danish Academy of Sciences and Letters'],['University of Copenhagen'],,['Danish'],,,,,,,,['human'],['male'],False,15,October,1890,False,3,August,1959
Gregorio Ricci-Curbastro,['mathematician'],['Kingdom of Italy'],Lugo,6 August 1925,,,['Bologna'],"['Lincean Academy', 'Academy of Sciences of Turin']",,['Ulisse Dini'],['Italian'],,,,,['differential geometry'],,,['human'],['male'],False,12,January,1853,False,6,August,1925
Mikhail Postnikov,"['mathematician', 'topologist', 'university teacher']","['Soviet Union', 'Russia']",Shatura,27 May 2004,['Moscow State University'],['Steklov Institute of Mathematics'],['Moscow'],,['Steklov Institute of Mathematics'],['Lev Pontryagin'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],,,,"['topology', 'mathematical analysis', 'algebraic topology', 'differential topology']",['Lenin Prize'],,['human'],['male'],False,27,October,1927,False,27,May,2004
David Gauld (mathematician),['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Alessandro Marchetti (mathematician),"['mathematician', 'writer']",,Empoli,6 September 1714,,,['Pisa'],,,,['Italian'],,,,,,,,['human'],['male'],False,17,March,1633,False,6,September,1714
Keith Devlin,"['mathematician', 'university teacher', 'journalist']","['United Kingdom', 'United States of America']",Kingston upon Hull,,"[""King's College London"", '1964', '1968', 'Bachelor of Science', 'University of Bristol', '1968', '1971', 'Doctor of Philosophy']",,,['American Mathematical Society'],,['Frederick Rowbottom'],['English'],,,,,['set theory'],,['2±0'],['human'],['male'],False,16,March,1947,False,,,
David Makinson,"['mathematician', 'philosopher']",['Australia'],,,,"[""King's College London""]",,,"[""King's College London""]",,['English'],,,,,,,['3±0'],['human'],['male'],False,27,August,1941,False,,,
John Crank,"['mathematician', 'university teacher']",['United Kingdom'],Lancashire,3 October 2006,['University of Manchester'],,,,,['William Lawrence Bragg'],,,,,,,,,['human'],['male'],False,6,February,1916,False,3,October,2006
Lynn Harold Loomis,"['mathematician', 'university teacher']",['United States of America'],,9 June 1994,['Harvard University'],['Harvard University'],,['American Academy of Arts and Sciences'],['Harvard University'],,,,,,,,,,['human'],['male'],False,,,1915,False,9,June,1994
Koide Chōjūrō,['mathematician'],['Japan'],Tokushima,6 October 1865,,['Tokushima Domain'],['Q11407466'],,['Tokushima Domain'],,,,,,,,,,['human'],['male'],False,16,October,1797,False,6,October,1865
Wilfred Kaplan,['mathematician'],['United States of America'],Boston,26 December 2007,['Harvard University'],['University of Michigan'],['Ann Arbor'],,['University of Michigan'],,,,,,,,,,['human'],['male'],False,28,November,1915,False,26,December,2007
Simion Stoilow,"['mathematician', 'diplomat', 'university teacher']",['Romania'],Bucharest,4 April 1961,['University of Paris'],,['Bucharest'],,,['Charles Émile Picard'],['Romanian'],['Doctor of Sciences in Physics and Mathematics'],,['natural causes'],,['mathematical analysis'],,,['human'],['male'],False,14,September,1887,False,4,April,1961
Kirstine Smith,"['statistician', 'mathematician']",,,11 November 1939,"['University College London', 'University of Copenhagen']",,,,,,,,,,,,,,['human'],['female'],False,12,April,1878,False,11,November,1939
James J. Stoker,"['mathematician', 'university teacher']",['United States of America'],Pittsburgh,19 October 1992,['ETH Zurich'],['New York University'],['Greenwood Lake'],['American Academy of Arts and Sciences'],['New York University'],['Heinz Hopf'],,,['Louis Nirenberg'],,,,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Timoshenko Medal', '1970', 'Josiah Willard Gibbs Lectureship', '1961']",,['human'],['male'],False,2,March,1905,False,19,October,1992
Joseph A. Thas,['mathematician'],['Belgium'],Dilbeek,,,['Ghent University'],,"['Royal Flemish Academy of Belgium for Science and the Arts', 'American Mathematical Society']",['Ghent University'],,,,,,,,"['Euler Medal', '1994']",,['human'],['male'],True,,,1900,False,,,
Ralph Faudree,"['mathematician', 'university teacher']",['United States of America'],Durant,13 January 2015,['Purdue University'],"['University of California, Berkeley', 'University of Memphis']",['Memphis'],,"['University of California, Berkeley', 'University of Memphis']",,,,,,,"['combinatorics', 'graph theory', 'Ramsey theory']","['Euler Medal', '2005']",['1±0'],['human'],['male'],False,23,August,1939,False,13,January,2015
Rudolf Fueter,"['mathematician', 'university teacher']",['Switzerland'],Basel,9 August 1950,['University of Göttingen'],"['University of Basel', 'Karlsruhe Institute of Technology']",['Brunnen'],['German Academy of Sciences Leopoldina'],"['University of Basel', 'Karlsruhe Institute of Technology']",,['German'],,,,['President of the University of Zurich'],,,,['human'],['male'],False,30,June,1880,False,9,August,1950
Hipparchus,"['astronomer', 'mathematician']",,Nicaea,120 BCE,,,['Rhodes'],,,,,,,,,,,,['human'],['male'],False,,,-190,False,,,-120
Hermann Bottenbruch,"['mathematician', 'computer scientist']",['Germany'],,,,,,,,,,,,,,,,,['human'],['male'],False,14,September,1928,False,,,
Tomasz Mrowka,"['mathematician', 'university teacher']",['United States of America'],State College,,"['University of California, Berkeley']",,,"['National Academy of Sciences', 'American Academy of Arts and Sciences']",,['Clifford Taubes'],,,,,,,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Oswald Veblen Prize in Geometry', '2007']",,['human'],['male'],False,9,September,1961,False,,,
Victor Pavlovich Maslov,"['mathematician', 'physicist', 'university teacher']","['Soviet Union', 'Russia']","Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",,['Moscow State University'],['Moscow State University'],,"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Moscow State University'],['Sergei Fomin'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],,,,"['mathematical physics', 'theory of differential equations', 'functional analysis', 'mechanics']","['USSR State Prize', 'Lenin Prize', 'Demidov Prize', '2000']",,['human'],['male'],False,15,June,1930,False,,,
Julius August Christoph Zech,"['mathematician', 'astronomer', 'university teacher']",,Stuttgart,1864,,,['Stuttgart'],,,,,,,,,,,,['human'],['male'],False,,,1821,False,,,1864
Witold Milewski (mathematician),"['mathematician', 'physicist']",,,1889,,,,['Poznań Society of Friends of Learning'],,,,,,,,,,,['human'],['male'],False,,,1817,False,,,1889
Story Musgrave,"['astronaut', 'statistician', 'aviator', 'officer', 'chemist']",['United States of America'],Boston,,"['Syracuse University', 'University of Kentucky', 'University of California, Los Angeles', ""St. Mark's School"", 'Columbia University College of Physicians and Surgeons']","['National Aeronautics and Space Administration', 'astronaut']",,,"['National Aeronautics and Space Administration', 'astronaut']",,,,,,,,,,['human'],['male'],False,19,August,1935,False,,,
Jianqing Fan,"['mathematician', 'statistician']",,Putian,,"['Fudan University', 'University of California, Berkeley']","['Princeton University', 'University of California, Los Angeles', 'University of North Carolina at Chapel Hill']",,['Academia Sinica'],"['Princeton University', 'University of California, Los Angeles', 'University of North Carolina at Chapel Hill']",['David Donoho'],,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,22,December,1962,False,,,
Narsingh Deo,"['mathematician', 'computer scientist']",['India'],,,['Northwestern University'],['Indian Institute of Technology Kanpur'],,,['Indian Institute of Technology Kanpur'],,,,,,,['graph theory'],,,['human'],['male'],False,,,,False,,,
Johann Friedrich Hennert,"['mathematician', 'astronomer', 'university teacher']",['Germany'],Berlin,30 March 1813,,,['Utrecht'],,,['Leonhard Euler'],['German'],,,,,"['mathematical analysis', 'number theory']",,,['human'],['male'],False,19,October,1733,False,30,March,1813
Alex Grossman,['physicist'],['France'],Zagreb,,,,,,,,,,,,,,,,['human'],['male'],False,5,August,1930,False,,,
Celia Grillo Borromeo,"['salonnière', 'mathematician']",,Genoa,23 August 1777,,,['Milan'],,,,['Italian'],,,,,,,,['human'],['female'],False,,,1684,False,23,August,1777
Eduard Jan Dijksterhuis,"['historian', 'university teacher']",['Kingdom of the Netherlands'],Tilburg,18 May 1965,,"['Utrecht University', 'Leiden University', 'University of Amsterdam']",['De Bilt'],['Royal Netherlands Academy of Arts and Sciences'],"['Utrecht University', 'Leiden University', 'University of Amsterdam']",,['Dutch'],,,['natural causes'],,,"['P. C. Hooft Award', '1951']",,['human'],['male'],False,28,October,1892,False,18,May,1965
Igor Shafarevich,"['mathematician', 'human rights activist', 'university teacher']","['Soviet Union', 'Russia']","Zhytomyr, Ukrainian Soviet Socialist Republic, Soviet Union",19 February 2017,['Moscow State University'],"['Steklov Institute of Mathematics', '1946', 'Moscow State University', '1944']","['Moscow', 'Russia']","['Royal Society', 'German Academy of Sciences Leopoldina', 'Russian Academy of Sciences', 'Serbian Academy of Sciences and Arts', 'American Academy of Arts and Sciences']","['Steklov Institute of Mathematics', '1946', 'Moscow State University', '1944']",['Boris Delaunay'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],"['Igor Dolgachev', 'Suren Arakelov']",,,"['algebraic geometry', 'number theory', 'Q3968', 'Galois theory']","['Lenin Prize', 'Dannie-Heineman-Preis', 'Q21660832', 'Q7704960', '2017']",['3±0'],['human'],['male'],False,3,June,1923,False,19,February,2017
Paulo Pinheiro,"['computer scientist', 'mathematician']",['Brazil'],Rio de Janeiro,,"['Stanford University', 'University of Manchester']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
John Edmund Kerrich,"['mathematician', 'statistician']",,,1985,"[""St John's College""]",,,,,,,,,,,,,,['human'],['male'],False,,,1908,False,,,1985
Solomon Gandz,['historian'],['Poland'],Tarnobrzeg,30 March 1954,,,,,,,,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,2,February,1883,False,30,March,1954
"Sir Frederick Eden, 2nd Baronet","['economist', 'statistician']",['United Kingdom'],,1809,['Christ Church'],,,,,,,,,,,,,,['human'],['male'],False,,,1766,False,,,1809
Martin Aigner,"['mathematician', 'university teacher']",['Austria'],Linz,,['University of Vienna'],['Free University of Berlin'],,"['Austrian Academy of Sciences', 'Prussian Academy of Sciences', 'Berlin-Brandenburg Academy of Sciences and Humanities']",['Free University of Berlin'],,['German'],['doctoral degree'],,,,"['combinatorics', 'graph theory']",,['1±0'],['human'],['male'],False,28,February,1942,False,,,
Gui-Qiang Chen,"['mathematician', 'university teacher']",['United States of America'],Cixi City,,['Fudan University'],,,['American Mathematical Society'],,,,,,,,,,,['human'],['male'],False,,,1963,False,,,
