mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Ferdinand Augustin Hallerstein,"['mathematician', 'astronomer', 'demographer', 'monk']",['Habsburg Empire'],Ljubljana,29 October 1774,,,['Beijing'],"['Russian Academy of Sciences', 'French Academy of Sciences']",,,,,,,,,,,['human'],['male'],False,18,August,1703,False,29,October,1774
Katia Sycara,"['roboticist', 'mathematician', 'engineer', 'computer scientist', 'artificial intelligence researcher']",['Greece'],,,"['University of Wisconsin–Madison', 'Brown University', 'University of Wisconsin–Milwaukee', 'Georgia Institute of Technology']",,,['Association for the Advancement of Artificial Intelligence'],,,,,,,,"['Semantic Web', 'artificial intelligence']",,['3±0'],['human'],['female'],False,,,,False,,,
Jan Arnoldus Schouten,['mathematician'],['Kingdom of the Netherlands'],Amsterdam,20 January 1971,['Delft University of Technology'],,['Epe'],"['Royal Netherlands Academy of Arts and Sciences', 'Heidelberg Academy for Sciences and Humanities', '1949', 'corresponding member']",,,,,,,"['Q20859509', '1938', '1939']",['differential geometry'],,['3±0'],['human'],['male'],False,28,August,1883,False,20,January,1971
J. Barkley Rosser,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],Jacksonville,5 September 1989,['Princeton University'],"['Harvard University', 'University of Wisconsin–Madison']",['Madison'],['American Academy of Arts and Sciences'],"['Harvard University', 'University of Wisconsin–Madison']",['Alonzo Church'],,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,6,December,1907,False,5,September,1989
E. F. Schumacher,"['economist', 'philosopher', 'statistician']","['United Kingdom', 'Germany']",Bonn,4 September 1977,"['Columbia University', 'University of Bonn', 'New College']",,['Switzerland'],,,,['English'],,,['natural causes'],,,"[""Prix Européen de l'Essai Charles Veillon"", '1976']",,['human'],['male'],False,16,August,1911,False,4,September,1977
Franco Brezzi,['mathematician'],['Italy'],Vimercate,,,,,['Lincean Academy'],,['Enrico Magenes'],,,['Alfio Quarteroni'],,,['numerical analysis'],,,['human'],['male'],False,29,April,1945,False,,,
Jack Edmonds,"['mathematician', 'computer scientist']",['Canada'],,,,,,,,,,,,,,['combinatorics'],"['John von Neumann Theory Prize', '1985']",['2±0'],['human'],['male'],False,5,April,1934,False,,,
James R. Jackson,['mathematician'],['United States of America'],Denver,20 March 2011,"['University of California, Los Angeles', '1946', 'Bachelor of Arts', 'University of California, Los Angeles', '1950', 'Master of Arts', 'University of California, Los Angeles', '1952', 'Doctor of Philosophy']","['UCLA Anderson School of Management', 'University of California, Los Angeles']",['Tehachapi'],,"['UCLA Anderson School of Management', 'University of California, Los Angeles']",,,,,,,['queueing theory'],,,['human'],['male'],False,16,May,1924,False,20,March,2011
Alex F. T. W. Rosenberg,['mathematician'],,Berlin,2007,"['University of Toronto', 'University of Chicago']",,['Schwerte'],,,,,,,,,,,,['human'],['male'],False,,,1926,False,,,2007
Michael Healy (statistician),['statistician'],['United Kingdom'],Paignton,17 July 2016,['Trinity College'],,,,,,,,,,,,,,['human'],['male'],False,26,November,1923,False,17,July,2016
